导演,二树,/subject_search?search_text=%E4%BA%8C%E6%A0%91
编剧1,逆光飞行,/celebrity/1352537/
演员1,兔子,/subject_search?search_text=%E5%85%94%E5%AD%90
演员2,秃子,/subject_search?search_text=%E7%A7%83%E5%AD%90
演员3,毛熊,/subject_search?search_text=%E6%AF%9B%E7%86%8A
演员4,鹰酱,/subject_search?search_text=%E9%B9%B0%E9%85%B1
总评价数,377
评价1,17.2%
评价2,12.1%
评价3,27.6%
评价4,12.1%
评价5,31.0%
标签1,动画
标签2,历史
播出时间,2017-06-30(中国大陆)
