导演,蔺水净,/celebrity/1357190/
编剧1,李家俊,/celebrity/1366434/
编剧2,肖莹莹,/celebrity/1375037/
编剧3,宋庆楠,/celebrity/1375036/
演员1,万沛鑫,/celebrity/1342322/
演员2,万潼,/celebrity/1371848/
演员3,周家宇,/celebrity/1376688/
演员4,郑沛琳,/celebrity/1357836/
演员5,张铎瀚,/celebrity/1376689/
总评价数,628
评价1,6.7%
评价2,23.3%
评价3,40.0%
评价4,26.7%
评价5,3.3%
标签1,剧情
标签2,悬疑
标签3,犯罪
播出时间,2017-05-31(中国大陆)
