导演,于彬,/celebrity/1381386/
编剧1,于彬,/celebrity/1381386/
演员1,沈达威,/celebrity/1326543/
演员2,龟仙人,/subject_search?search_text=%E9%BE%9F%E4%BB%99%E4%BA%BA
演员3,冯骏骅,/celebrity/1318496/
演员4,王梓,/celebrity/1362037/
演员5,杨鸥,/celebrity/1328707/
演员6,赵路,/celebrity/1349631/
演员7,醋醋,/celebrity/1343129/
演员8,夏磊,/celebrity/1327600/
演员9,谢添天,/celebrity/1318497/
总评价数,550
评价1,30.2%
评价2,41.9%
评价3,23.3%
评价4,2.3%
评价5,2.3%
标签1,剧情
标签2,动画
标签3,奇幻
标签4,武侠
标签5,古装
播出时间,2017-04-25(中国大陆)
