导演,高林豹,/subject_search?search_text=%E9%AB%98%E6%9E%97%E8%B1%B9
编剧1,Vivibear,/subject_search?search_text=Vivibear
演员1,马可,/celebrity/1342440/
演员2,付辛博,/celebrity/1275587/
演员3,周雨彤,/celebrity/1348107/
演员4,聂子皓,/subject_search?search_text=%E8%81%82%E5%AD%90%E7%9A%93
演员5,那家威,/celebrity/1323306/
总评价数,860
评价1,8.3%
评价2,16.7%
评价3,32.3%
评价4,22.9%
评价5,19.8%
标签1,剧情
标签2,奇幻
播出时间,2017-02-20(中国大陆)
