导演,王骏晔,/celebrity/1373605/
编剧1,和菜头,/celebrity/1370285/
演员1,徐海乔,/celebrity/1313237/
演员2,鞠婧祎,/celebrity/1349551/
演员3,程小蒙,/celebrity/1354510/
演员4,刘冠麟,/celebrity/1274659/
演员5,张辛苑,/celebrity/1339526/
演员6,李鹤,/celebrity/1344238/
总评价数,6813
评价1,14.3%
评价2,24.9%
评价3,36.7%
评价4,14.1%
评价5,10.0%
标签1,悬疑
标签2,古装
播出时间,2017-02-15(中国大陆)
