导演,王硕,/subject_search?search_text=%E7%8E%8B%E7%A1%95
编剧1,周密,/subject_search?search_text=%E5%91%A8%E5%AF%86
演员1,范伟,/celebrity/1051526/
演员2,郑奇,/celebrity/1322904/
演员3,冯嘉怡,/celebrity/1317068/
演员4,杨童舒,/celebrity/1315220/
演员5,秦卫东,/celebrity/1318155/
总评价数,1066
评价1,34.7%
评价2,38.8%
评价3,18.2%
评价4,2.9%
评价5,5.3%
标签1,剧情
播出时间,2017-02-07(中国大陆)
