导演,倪晶,/subject_search?search_text=%E5%80%AA%E6%99%B6
编剧1,倪晶,/subject_search?search_text=%E5%80%AA%E6%99%B6
演员1,王若涵,/celebrity/1348953/
演员2,费鲤齐,/subject_search?search_text=%E8%B4%B9%E9%B2%A4%E9%BD%90
演员3,卢本娟,/subject_search?search_text=%E5%8D%A2%E6%9C%AC%E5%A8%9F
演员4,孙旸,/subject_search?search_text=%E5%AD%99%E6%97%B8
总评价数,1462
评价1,55.2%
评价2,16.2%
评价3,13.3%
评价4,7.6%
评价5,7.6%
标签1,剧情
标签2,喜剧
标签3,运动
播出时间,2017-03-06(中国大陆)
