剧名,豆瓣ID,豆瓣评分,豆瓣评价数,豆瓣标签1,豆瓣标签2,豆瓣标签3,播出时间,5分评价,4分评价,3分评价,2分评价,1分评价,导演最佳评分,导演最近评分,编剧1最佳评分,编剧1最近评分,编剧2最佳评分,编剧2最近评分,演员1最佳评分,演员1最近评分,演员2最佳评分,演员2最近评分,演员3最佳评分,演员3最近评分,演员4最佳评分,演员4最近评分,演员5最佳评分,演员5最近评分
大话西游之爱你一万年,26743549,3.386,6950,喜剧,爱情,古装,2017-09-28(中国大陆),8.20%,4.60%,6.10%,10.50%,70.60%,7.72,4.56,8.82,3.6,,,8.2,4.725,7.16,4.95,,,9.02,5.74,7.84,5.1
天使的幸福,6888715,7.084,2046,剧情,爱情,,2017-05-22(中国大陆),29.50%,19.70%,36.10%,4.90%,9.80%,8.68,7.6,,,,,8.82,7.566666667,8.06,6,6.76,5.8,6.04,6.25,6.4,6.4
天泪传奇之凤凰无双,26732417,5.142,1322,科幻,奇幻,,2017-10-04(中国大陆),11.90%,8.70%,28.60%,26.20%,24.60%,7.64,6.02,8.48,5.9,,,7.74,5.5,8.2,5.75,8.1,5.733333333,7.6,5.25,8.16,6.075
太乙仙魔录之灵飞纪 第二季,#N/A,7.908,550,剧情,动画,奇幻,2017-04-25(中国大陆),30.20%,41.90%,23.30%,2.30%,2.30%,,,,,,,8.84,6.85,,,8.84,7.4,8.05,8,7.16,6.25
女管家,26635351,3.658,392,剧情,家庭,,2017-05-07(中国大陆),4.80%,3.20%,17.50%,19.00%,55.60%,6.08,3.833333333,,,,,8.34,5,7.78,5.76,,,8.72,5.1,5.44,5.44
守卫者·浮出水面,#N/A,4.684,5549,剧情,悬疑,,2017-08-14(中国大陆),8.10%,7.80%,24.70%,28.90%,30.60%,7.44,4.95,,,,,8.8,5.46,8,5.78,,,6.125,6.125,5.5,5.766666667
寒武纪,26939218,6.58,5915,剧情,爱情,悬疑,2017-05-09(中国大陆),17.20%,26.10%,34.00%,14.00%,8.60%,7.18,6.16,,,,,6.5,5.5,6.88,6.466666667,7.26,5.76,8.16,7.4,5.7,5.7
寻人大师,26928826,6.86,5324,剧情,喜剧,悬疑,2017-06-14(中国大陆),17.90%,27.60%,41.00%,6.70%,6.70%,,,8,6.3,,,5.68,5.12,5.75,5.75,8.28,5.7,5.975,5.975,5.15,5.15
寻找前世之旅2,26978997,5.416,860,剧情,奇幻,,2017-02-20(中国大陆),8.30%,16.70%,32.30%,22.90%,19.80%,,,,,,,,,,,,,,,,
小情人,26597756,5.576,2261,剧情,爱情,家庭,2017-05-29(中国大陆),9.20%,15.00%,38.30%,20.40%,17.10%,6.88,5.8,,,,,8.76,5.98,7.42,4.58,7.58,5.2,8.04,5.75,8.48,5.15
少年有点酷,27068918,8.06,2025,剧情,喜剧,歌舞,2017-07-03(中国大陆),39.40%,34.20%,19.00%,4.80%,2.60%,7.76,7.12,,,,,,,,,,,,,,
少年锦衣卫 第一季,#N/A,8.276,6609,动画,武侠,,2017-02-09(中国大陆),38.50%,42.20%,14.90%,3.40%,1.00%,,,,,,,6.975,6.733333333,,,7.54,7.2,8.9,7.5,9.24,6.55
平凡岁月,26795042,6.684,2439,剧情,爱情,,2017-09-10(中国大陆),17.50%,30.60%,31.60%,9.20%,11.10%,8.26,6.05,,,,,8.74,6.7,8.08,5.66,8.92,7.075,5.95,6.7,,
废柴兄弟5：泰爽,#N/A,4.48,1888,喜剧,,,2017-05-15(中国大陆),5.20%,10.40%,21.70%,28.70%,33.90%,7.5,6.72,7.5,6.72,,,7.84,5.9,,,5,5.85,7.9,6.575,,
开封奇谈——这个包公不太行,#N/A,7.568,1368,喜剧,动画,悬疑,2017-05-19(中国大陆),19.90%,49.00%,21.90%,8.00%,1.20%,,,,,,,,,,,8.5,6.975,7.46,7.066666667,7.36,7.36
御姐归来,26298041,4.19,1163,剧情,爱情,,2017-04-23(中国大陆),4.20%,4.20%,23.20%,33.70%,34.70%,6.82,4.2,5.8,5.3,,,8,4.48,6.66,5.175,5.2,5.1,7.38,4.425,8.18,4.95
心理师,26895366,5.484,1185,剧情,悬疑,犯罪,2017-04-24(中国大陆),8.50%,21.40%,25.60%,24.80%,19.70%,,,,,,,8.48,5.5,7.8,5.75,6.9,5.325,,,,
快把我哥带走 兄に付ける薬はない！,#N/A,7.594,1180,喜剧,动画,,2017-03-28(中国大陆) 2017-04-07(日本),23.30%,41.30%,29.00%,4.60%,1.80%,,,,,,,8.5,6.975,8.38,7.666666667,,,9.14,6,8.16,7.35
思美人,26606744,3.444,9460,爱情,古装,,2017-04-28(中国大陆),5.50%,7.30%,7.80%,12.70%,66.70%,6.96,3.35,6.08,3.5,,,7.94,4.166666667,7.3,5,8.48,5.5,8.74,5.55,6.86,5.05
愿有人陪你颠沛流离,26712244,6.568,342,剧情,,,2017-03-13(中国大陆),12.80%,30.80%,38.50%,7.70%,10.30%,,,,,,,,,,,,,,,,
我与你的光年距离,26864181,4.904,3927,爱情,奇幻,,2017-02-14(中国大陆),11.70%,5.80%,25.30%,30.50%,26.60%,,,,,,,,,6.5,5.5,,,,,,
我们的少年时代,26662489,5.118,11125,剧情,运动,,2017-07-09(中国大陆),12.30%,11.90%,26.70%,17.60%,31.50%,,,6.05,6.05,,,8.78,5.633333333,8.78,6.5,8.74,5.55,8.46,5.5,7.6,5.2
