白夜追凶,26883064,9.0
无证之罪,26930540,8.3
使徒行者2,26661003,7.1
情满四合院,26287786,8.5
那年花开月正圆,26801052,7.3
将军在上,26808247,5.3
河神,26776350,8.3
反黑,26961209,6.8
大话西游之爱你一万年,26743549,3.4
国民大生活,26861630,6.1
余罪,26363830,8.2
大军师司马懿之军师联盟,26605881,8.1
大明王朝1566,2210001,9.6
武林外传,3882715,9.3
红楼梦,1864810,9.5
毛骗,26603847,9.6
白鹿原,26322644,8.8
天泪传奇之凤凰无双,26732417,5.1
父母爱情,19965220,8.9
人民的名义,26727273,8.3
颤抖吧,26895367,7.6
走向共和,1441794,9.6
传奇大亨,26425608,5.2
红色,25966028,9.2
最好的我们,26602244,8.7
春风十里,26861629,6.3
毛骗,4888230,8.3
我的前半生,26358696,6.3
杀不死,26772013,8.2
大明宫词,2154859,8.9
一树桃花开,26605866,7.0
后宫,4922787,8.9
平凡的世界,25851665,8.2
天道,2347485,8.9
平凡岁月,26795042,6.7
潜伏,3314870,9.2
一起同过窗,26391976,8.8
无心法师2,26608206,6.4
花间提壶方大厨,26868416,8.0
伪装者,25994712,8.3
鬼吹灯之精绝古城,26298935,8.1
心理罪,26345152,7.5
毛骗,6894818,9.3
无心法师,26298756,8.3
战长沙,20258941,9.1
鸡毛飞上天,26685864,8.2
亮剑,2254648,9.0
大宅门,2181930,9.2
遇见王沥川,20444535,8.4
我的团长我的团,2997325,8.9
大宋提刑官,2239292,8.8
美味奇缘,26805211,3.3
余罪,26802975,7.1
醉玲珑,26675795,5.9
法医秦明,26674019,7.0
亲爱的王子大人,26969092,7.2
三国演义,1830528,9.2
秦时明月之君临天下,20501094,8.2
三生三世十里桃花,25975243,6.4
康熙王朝,1830590,9.0
通天狄仁杰,25926750,4.9
大秦帝国之裂变,3114220,9.1
我爱我家,3901388,9.1
红楼梦,3014183,5.9
双世宠妃,27080949,6.3
大秦帝国之崛起,5923466,8.5
射雕英雄传,26663086,8.0
狐妖小红娘,26435736,8.8
西游记,2156663,9.4
士兵突击,2154096,9.2
秦时丽人明月心,26924742,5.0
金粉世家,2157130,8.2
鬼吹灯之黄皮子坟,26859982,5.3
拳皇命运,27013044,7.8
罗小黑战记,10477598,9.5
欢乐颂,26430092,7.3
欢乐颂2,26743573,5.3
爱人,26638521,4.2
大秦帝国之纵横,4858790,8.9
外科风云,26683725,7.5
少年包青天,2157131,7.9
三国,3237723,7.5
一人之下,26815153,8.3
爱情公寓4,10793510,7.4
人间正道是沧桑,3153641,8.9
天行九歌,26184588,8.6
全职高手,26859991,8.2
爱情公寓,3926132,8.4
笑傲江湖,2155290,7.8
粉红女郎,2244363,7.3
轩辕剑之天之痕,5989840,5.4
家有儿女,2160565,8.0
虹猫蓝兔七侠传,3204594,9.0
铁齿铜牙纪晓岚,2248757,7.9
镇魂街,26882293,6.4
仙剑奇侠传,2210031,8.4
楚乔传,26363186,5.0
少年锦衣卫,26896964,8.3
仙剑奇侠传三,3227335,7.5
步步惊心,5384548,8.1
