将军在上,26808247,5.3
国民大生活,26861630,6.1
传奇大亨,26425608,5.2
天泪传奇之凤凰无双,26732417,5.1
大话西游之爱你一万年,26743549,3.4
反黑,26961209,6.8
使徒行者2,26661003,7.0
美味奇缘,26805211,3.3
平凡岁月,26795042,6.7
何所冬暖,26640865,3.7
无证之罪,26930540,8.3
白夜追凶,26883064,9.0
那年花开月正圆,26801052,7.3
亲爱的王子大人,26969092,7.2
大王不容易,27079358,5.3
通天狄仁杰,25926750,4.9
人间至味是清欢,26842672,4.5
盲约,26801053,4.7
决对争锋,26918840,6.2
无心法师2,26608206,6.4
秦时丽人明月心,26924742,4.9
守卫者,26369809,4.7
我们的爱,26648963,3.5
轩辕剑之汉之云,26608227,4.0
颤抖吧,26895367,7.6
我女朋友的男朋友2,27103771,7.6
拳皇命运,27013044,7.8
镇魂街,26882293,6.4
爱人,26638521,4.2
浪花一朵朵,26754618,5.2
深海利剑,26879740,5.2
绝密543,27002013,7.9
春风十里,26861629,6.3
鬼吹灯之黄皮子坟,26859982,5.3
河神,26776350,8.3
反恐特战队之猎影,26691325,4.4
醉玲珑,26675795,5.9
双世宠妃,27080949,6.3
我们的少年时代,26662489,5.1
侠客行,25864160,4.0
我的前半生,26358696,6.3
少年有点酷,27068918,8.1
鬼吹灯之牧野诡事,26711098,2.9
复合大师,26637887,4.3
那年那兔那些事,27079414,5.4
大军师司马懿之军师联盟,26605881,8.1
我的1997,27002023,5.1
杀不死,26772013,8.2
最佳女配,27069493,4.8
刺客列传之龙血玄黄,26915590,5.8
寻人大师,26928826,6.9
深夜食堂,26411410,2.8
上古情歌,26608231,3.9
夏至未至,26734684,4.3
一粒红尘,26752098,4.1
逆袭之星途璀璨,26807650,4.2
林海雪原,26684705,6.2
楚乔传,26363186,5.0
暗徒,26934342,6.1
小情人,26597756,5.6
我女朋友的男朋友,26873744,7.1
天使的幸福,6888715,7.1
开封奇谈,27041453,7.6
废柴兄弟5,26949276,4.5
欢乐颂2,26743573,5.3
职场是个技术活,26108041,5.4
寒武纪,26939218,6.6
龙珠传奇之无间道,26755568,5.0
女管家,26635351,3.7
假凤虚凰,27006109,6.1
幻镜诺德琳,26966807,8.4
思美人,26606744,3.4
阿拉德,27028810,5.5
太乙仙魔录之灵飞纪,27030637,7.9
心理师,26895366,5.5
画心师,26873085,6.2
求婚大作战,26743546,3.9
御姐归来,26298041,4.2
花间提壶方大厨,26868416,8.0
囧女翻身之嗨如花,26799432,7.3
繁星四月,26761295,4.9
外科风云,26683725,7.5
择天记,26614082,4.2
卧底归来,26638502,6.1
白鹿原,26322644,8.8
继承人,26696085,5.1
被催眠的催眠师,26890345,6.2
秘果,26658517,6.0
全职高手,26859991,8.2
狐狸的夏天,26811778,6.9
大唐荣耀2,27006086,6.4
漂洋过海来看你,26682195,6.6
人民的名义,26727273,8.3
鲜肉老师,26878430,6.5
快把我哥带走,26990819,7.6
问题餐厅,26708488,5.8
神探狄仁杰4,6878443,5.8
无间道,26992119,6.3
神兽麻将馆,26835004,5.5
剃刀边缘,26746951,6.5
愿有人陪你颠沛流离,26712244,6.6
谁寄锦书来,26989874,7.0
热血尖兵,26992031,6.3
梦想,26811731,8.1
鸡毛飞上天,26685864,8.2
黎明决战,26295709,6.3
因为遇见你,26637890,4.7
无间道,26982797,6.9
云巅之上,26344892,5.8
南京爱情,26351248,2.7
约会恋爱究竟是什么,26668669,4.8
寻找前世之旅2,26978997,5.4
热血长安,26776531,6.4
我与你的光年距离,26864181,4.9
周末父母,26715635,5.3
大秦帝国之崛起,5923466,8.5
少年锦衣卫,26896964,8.3
拜托,26967907,6.8
星光灿烂,24772954,7.9
那片星空那片海,26613421,3.6
