导演,任海曜 / 刘镇明,4.5,4.5,
编剧1,张静,-1,-1,
演员1,张逸杰,7.38,4.52,
演员2,白鹿,-1,-1,
演员3,赵弈钦,-1,-1,
演员4,汤梦佳,7.859999999999999,5.4,
演员5,董慧,8.08,4.6000000000000005,
演员6,徐百卉,,,
演员7,刘恩尚,/subject_search?search_text=%E5%88%98%E6%81%A9%E5%B0%9A
演员8,高雨儿,/celebrity/1363932/
演员9,洪尧,/subject_search?search_text=%E6%B4%AA%E5%B0%A7
演员10,夏阳,/subject_search?search_text=%E5%A4%8F%E9%98%B3
总评价数,2061
评价1,9.4%
评价2,11.8%
评价3,33.5%
评价4,27.4%
评价5,17.9%
标签1,喜剧
标签2,爱情
标签3,古装
播出时间,2017-08-30(中国大陆)
