导演,江丰宏,7.18,6.159999999999999,
编剧1,侯鹏飞,-1,-1,
演员1,周雨彤,6.5,5.5,
演员2,侯明昊,6.88,6.466666666666666,
演员3,贺军翔,7.26,5.76,
演员4,秦汉,8.16,7.3999999999999995,
演员5,符龙飞,5.7,5.7,
演员6,尹馨,,,
演员7,赵震宇,/celebrity/1373322/
演员8,夏若妍,/celebrity/1373323/
演员9,孙夕尧,/celebrity/1324407/
总评价数,5915
评价1,17.2%
评价2,26.1%
评价3,34.0%
评价4,14.0%
评价5,8.6%
标签1,剧情
标签2,爱情
标签3,悬疑
播出时间,2017-05-09(中国大陆)
