导演,刘国楠 / 尹涛,5.933333333333334,5.933333333333334,
编剧1,刘芳,6.340000000000001,5.9799999999999995,
编剧2,李惠敏,-1,-1,
演员1,景甜,7.12,5.625,
演员2,任嘉伦,6.04,5.5,
演员3,万茜,7.7,6.24,
演员4,舒畅,8.32,5.82,
演员5,秦俊杰,7.42,5.6,
演员6,茅子俊,,,
演员7,于小伟,/celebrity/1314386/
演员8,刘威葳,/celebrity/1313992/
总评价数,6203
评价1,18.1%
评价2,19.4%
评价3,35.7%
评价4,14.8%
评价5,12.0%
标签1,剧情
标签2,爱情
标签3,古装
播出时间,2017-04-04(中国大陆)
