导演,于彬,-1,-1,
编剧1,于彬,-1,-1,
演员1,沈达威,8.84,6.85,
演员2,龟仙人,-1,-1,
演员3,冯骏骅,8.84,7.4,
演员4,王梓,8.049999999999999,8.0,
演员5,杨鸥,7.159999999999999,6.25,
演员6,赵路,,,
演员7,醋醋,/celebrity/1343129/
演员8,夏磊,/celebrity/1327600/
演员9,谢添天,/celebrity/1318497/
总评价数,550
评价1,30.2%
评价2,41.9%
评价3,23.3%
评价4,2.3%
评价5,2.3%
标签1,剧情
标签2,动画
标签3,奇幻
标签4,武侠
标签5,古装
播出时间,2017-04-25(中国大陆)
