导演,郭春晖,/celebrity/1324901/
编剧1,陈炘怡,/subject_search?search_text=%E9%99%88%E7%82%98%E6%80%A1
编剧2,吴桐,/subject_search?search_text=%E5%90%B4%E6%A1%90
演员1,海铃,/celebrity/1353579/
演员2,薛泽源,/subject_search?search_text=%E8%96%9B%E6%B3%BD%E6%BA%90
演员3,孔垂楠,/celebrity/1345574/
演员4,潘铭允,/subject_search?search_text=%E6%BD%98%E9%93%AD%E5%85%81
总评价数,342
评价1,12.8%
评价2,30.8%
评价3,38.5%
评价4,7.7%
评价5,10.3%
标签1,剧情
播出时间,2017-03-13(中国大陆)
