导演,陈铭章,7.9,5.775,
编剧1,姚瑶,-1,-1,
演员1,朱亚文,8.5,6.199999999999999,
演员2,王丽坤,7.74,5.5,
演员3,叶青,7.539999999999999,5.3,
演员4,黄柏钧,7.220000000000001,6.3,
演员5,王彦霖,7.480000000000001,5.1,
演员6,温碧霞,,,
演员7,连凯,/celebrity/1122837/
演员8,高洋,/celebrity/1314040/
演员9,马秋子,/subject_search?search_text=%E9%A9%AC%E7%A7%8B%E5%AD%90
演员10,杨恭如,/celebrity/1016866/
演员11,袁文康,/celebrity/1274820/
总评价数,8819
评价1,13.3%
评价2,27.7%
评价3,40.5%
评价4,13.4%
评价5,5.1%
标签1,剧情
标签2,爱情
播出时间,2017-04-02(中国大陆)
