导演,李小江,/celebrity/1371693/
编剧1,游非,/celebrity/1372979/
编剧2,耳雅,/celebrity/1372980/
演员1,雷牧,/celebrity/1315665/
演员2,蒋佳恩,/celebrity/1372976/
演员3,常铖,/celebrity/1314524/
演员4,胡琨,/celebrity/1372978/
总评价数,22483
评价1,32.2%
评价2,43.8%
评价3,18.8%
评价4,3.2%
评价5,1.9%
标签1,喜剧
标签2,爱情
标签3,古装
播出时间,2017-04-20(中国大陆)
