导演,刘新,6.88,5.8,
编剧1,陈慧如,6.58,6.199999999999999,
编剧2,朱先中,-1,-1,
演员1,迪丽热巴,6.6,5.525,
演员2,张彬彬,5.88,5.4799999999999995,
演员3,李泰,6.76,4.375,
演员4,刘畅,7.56,4.95,
演员5,张璇,7.7,4.5,
演员6,蒙玉立,,,
演员7,王汀,/celebrity/1339317/
演员8,邱意浓,/celebrity/1335402/
总评价数,17133
评价1,11.9%
评价2,11.5%
评价3,22.5%
评价4,20.9%
评价5,33.1%
标签1,剧情
标签2,爱情
标签3,古装
播出时间,2017-08-14(中国大陆)
