导演,刘光,-1,-1,
编剧1,黄鉴,6.82,6.449999999999999,
演员1,张嘉译,8.9,7.550000000000001,
演员2,林雨申,7.999999999999998,6.35,
演员3,刘奕君,8.999999999999998,6.5,
演员4,翟天临,8.28,6.499999999999999,
演员5,傅晶,7.9799999999999995,6.675,
演员6,李沁,,,
演员7,汤镇业,/celebrity/1028943/
演员8,张晨光,/celebrity/1275270/
演员9,杨雨婷,/celebrity/1316391/
演员10,王斑,/celebrity/1314036/
演员11,钱晓蕴,/celebrity/1373935/
演员12,王培祎,/celebrity/1373936/
演员13,李彦明,/celebrity/1317150/
演员14,言杰,/celebrity/1334288/
演员15,申珉熙,/celebrity/1343401/
总评价数,2648
评价1,9.4%
评价2,25.6%
评价3,37.0%
评价4,16.2%
评价5,11.7%
标签1,剧情
标签2,动作
标签3,犯罪
播出时间,2017-04-17(中国大陆)
