导演,胡储玺,6.08,3.8333333333333335,
编剧1,海飞,-1,-1,
演员1,张钧甯,8.34,5.0,
演员2,刘欢,7.779999999999999,5.76,
演员3,刘韦伯,-1,-1,
演员4,谢君豪,8.719999999999999,5.1,
演员5,端木崇慧,5.4399999999999995,5.4399999999999995,
演员6,谢园,,,
演员7,王全有,/celebrity/1316924/
演员8,郭纬,/celebrity/1339766/
演员9,景岗山,/celebrity/1313351/
演员10,周铁,/celebrity/1353139/
演员11,谢闻轩,/celebrity/1318531/
总评价数,392
评价1,4.8%
评价2,3.2%
评价3,17.5%
评价4,19.0%
评价5,55.6%
标签1,剧情
标签2,家庭
播出时间,2017-05-07(中国大陆)
