导演,王骏晔,-1,-1,
编剧1,和菜头,-1,-1,
演员1,徐海乔,7.8,6.2749999999999995,
演员2,鞠婧祎,7.960000000000001,5.2,
演员3,程小蒙,-1,-1,
演员4,刘冠麟,8.080000000000002,6.25,
演员5,张辛苑,5.34,5.18,
演员6,李鹤,,,
总评价数,6813
评价1,14.3%
评价2,24.9%
评价3,36.7%
评价4,14.1%
评价5,10.0%
标签1,悬疑
标签2,古装
播出时间,2017-02-15(中国大陆)
