导演,谭嘉言,-1,-1,
编剧1,张云霄,6.040000000000001,5.833333333333333,
演员1,杨玏,7.5,6.35,
演员2,朱颜曼滋,7.040000000000001,6.6,
演员3,杨奇鸣,6.739999999999999,5.4750000000000005,
演员4,何美璇,-1,-1,
演员5,韩丹彤,6.519999999999999,5.38,
演员6,鲍鲲,,,
演员7,左腾云,/celebrity/1321566/
演员8,方晓莉,/celebrity/1336627/
演员9,刘沙,/celebrity/1318686/
总评价数,848
评价1,14.8%
评价2,20.4%
评价3,33.3%
评价4,24.1%
评价5,7.4%
标签1,剧情
标签2,悬疑
播出时间,2017-04-13(中国大陆)
