导演,小野败仔,-1,-1,
编剧1,晓晨兽,-1,-1,
演员1,冷泉夜月,-1,-1,
演员2,大白,-1,-1,
演员3,边江,8.5,6.975,
演员4,赵毅,7.459999999999999,7.066666666666666,
演员5,王凯,7.359999999999999,7.359999999999999,
演员6,夏磊,,,
演员7,图特哈蒙,/celebrity/1343032/
演员8,吴磊,/celebrity/1328289/
演员9,郝祥海,/celebrity/1340968/
演员10,默伶,/celebrity/1376137/
演员11,朱雀橙,/celebrity/1345415/
总评价数,1368
评价1,19.9%
评价2,49.0%
评价3,21.9%
评价4,8.0%
评价5,1.2%
标签1,喜剧
标签2,动画
标签3,悬疑
标签4,古装
播出时间,2017-05-19(中国大陆)
