导演,陈柏言,-1,-1,
编剧1,孙甜,-1,-1,
演员1,马正阳,6.9750000000000005,6.733333333333334,
演员2,丽阳,-1,-1,
演员3,范哲琛,7.539999999999999,7.200000000000001,
演员4,宝木中阳,8.9,7.5,
演员5,姜广涛,9.24,6.55,
演员6,刘校妤,,,
演员7,张杰,/celebrity/1274727/
演员8,敖磊,/celebrity/1325739/
演员9,郑曦,/celebrity/1348407/
总评价数,6609
评价1,38.5%
评价2,42.2%
评价3,14.9%
评价4,3.4%
评价5,1.0%
标签1,动画
标签2,武侠
播出时间,2017-02-09(中国大陆)
