导演,苏万聪 / 苏嘉敏,7.1,6.675000000000001,
编剧1,叶天成,8.14,7.0,
编剧2,黎倩仪,-1,-1,
演员1,苗侨伟,8.64,7.5,
演员2,陈豪,8.18,6.325,
演员3,宣萱,8.58,5.575,
演员4,袁伟豪,7.9399999999999995,7.55,
演员5,周柏豪,7.8,6.624999999999999,
演员6,黄翠如,,,
演员7,许绍雄,/celebrity/1274449/
演员8,麦明诗,/celebrity/1356458/
演员9,何佩珉,/celebrity/1336385/
总评价数,18330
评价1,14.3%
评价2,38.4%
评价3,37.3%
评价4,8.3%
评价5,1.7%
标签1,剧情
标签2,爱情
标签3,犯罪
播出时间,2017-09-18(中国大陆)
