导演,李云亮,6.08,6.08,
编剧1,赵冬苓,8.24,5.38,
演员1,董洁,8.260000000000002,5.6,
演员2,韩栋,8.02,4.9,
演员3,于荣光,8.66,4.1000000000000005,
演员4,黄曼,7.56,4.166666666666667,
演员5,田丽,7.580000000000001,4.9,
演员6,刘禹,,,
演员7,丁子玲,/celebrity/1322404/
演员8,修宗迪,/celebrity/1313754/
演员9,姚卓君,/celebrity/1320249/
演员10,崔鹏,/celebrity/1314226/
演员11,蒋林珊,/celebrity/1318466/
演员12,康馥麟,/celebrity/1318024/
演员13,王海地,/celebrity/1316460/
总评价数,575
评价1,1.9%
评价2,3.3%
评价3,5.7%
评价4,4.2%
评价5,84.9%
标签1,剧情
标签2,爱情
播出时间,2017-02-21(中国大陆)
