导演,阎建钢,7.860000000000001,6.375,
编剧1,段祺华,-1,-1,
演员1,刘恺威,8.42,4.42,
演员2,蒋欣,8.559999999999999,3.9,
演员3,刘松仁,8.879999999999999,5.919999999999999,
演员4,吴冕,8.799999999999999,5.5,
演员5,赵峥,8.16,6.374999999999999,
演员6,张译文,,,
演员7,徐好,/celebrity/1372516/
演员8,李颖,/celebrity/1313680/
演员9,张芝华,/celebrity/1315113/
演员10,王茜,/celebrity/1313460/
演员11,朱亚英,/celebrity/1318861/
演员12,洛葳,/celebrity/1327678/
总评价数,3271
评价1,10.7%
评价2,14.0%
评价3,23.1%
评价4,23.6%
评价5,28.5%
标签1,剧情
标签2,爱情
播出时间,2017-04-14(中国大陆)
