导演,周晓鹏,5.92,4.966666666666667,
编剧1,观达编剧群,-1,-1,
演员1,孙怡,6.5600000000000005,5.4,
演员2,邓伦,7.960000000000001,6.75,
演员3,吴优,6.959999999999999,5.9399999999999995,
演员4,代超,6.8199999999999985,6.675,
演员5,刘敏涛,8.84,5.825,
演员6,潘仪君,,,
演员7,吴竞,/celebrity/1275548/
演员8,罗刚,/celebrity/1315029/
演员9,李智楠,/celebrity/1316295/
演员10,郭虹,/celebrity/1336639/
总评价数,6465
评价1,3.3%
评价2,8.5%
评价3,33.0%
评价4,28.2%
评价5,27.1%
标签1,剧情
标签2,爱情
播出时间,2017-03-02(中国大陆)
