导演,于中中,7.5600000000000005,6.2749999999999995,
编剧1,李匪匪,-1,-1,
演员1,张予曦,6.660000000000001,5.22,
演员2,谢佳见,7.140000000000001,6.8999999999999995,
演员3,赵奕欢,5.840000000000001,5.133333333333334,
演员4,陈子由,-1,-1,
演员5,杜妍,-1,-1,
演员6,杨奇煜,,,
演员7,施羽,/celebrity/1320007/
演员8,吴亚衡,/celebrity/1374427/
演员9,朱元冰,/celebrity/1357566/
演员10,王子轩,/celebrity/1329789/
演员11,周诗璇,/celebrity/1337497/
总评价数,2113
评价1,29.3%
评价2,26.5%
评价3,26.2%
评价4,9.7%
评价5,8.4%
标签1,剧情
标签2,爱情
标签3,奇幻
播出时间,2017-08-30(中国大陆)
