导演,李木戈,6.125,5.833333333333333,
编剧1,莲静竹衣,-1,-1,
演员1,王耀庆,8.139999999999999,5.95,
演员2,潘之琳,6.9799999999999995,5.45,
演员3,应采儿,8.24,5.4,
演员4,魏千翔,7.280000000000001,5.824999999999999,
演员5,王策,7.4399999999999995,4.925000000000001,
演员6,金燕玲,,,
演员7,巴图,/celebrity/1315976/
演员8,邱意浓,/celebrity/1335402/
演员9,阎娜,/celebrity/1317319/
演员10,王思予,/celebrity/1373700/
总评价数,1264
评价1,9.0%
评价2,16.1%
评价3,32.9%
评价4,18.7%
评价5,23.2%
标签1,剧情
标签2,爱情
播出时间,2017-05-11(中国大陆)
