导演,邓科,7.74,7.025,
编剧1,南镇,-1,-1,
编剧2,陆驭龙,-1,-1,
演员1,白澍,7.1,7.1,
演员2,蔡文静,7.739999999999999,6.919999999999999,
演员3,李川,6.760000000000001,7.35,
演员4,于蓓蓓,7.425000000000001,7.35,
演员5,梁浩,7.82,7.1,
演员6,陈锦昀,,,
演员7,梁洁,/celebrity/1374407/
演员8,邓科,/celebrity/1315267/
总评价数,2784
评价1,19.2%
评价2,38.5%
评价3,27.4%
评价4,7.9%
评价5,6.9%
标签1,喜剧
标签2,爱情
标签3,奇幻
播出时间,2017-05-25(中国大陆)
