2016-07-09,0
2017-03-20,1178
2017-03-21,1249
2017-03-22,997
2017-03-23,455
2017-03-24,554
2017-03-25,368
2017-03-26,313
2017-03-27,1581
2017-03-28,636
2017-03-29,779
2017-03-30,518
2017-03-31,892
2017-04-01,309
2017-04-02,309
2017-04-03,821
2017-04-04,1042
2017-04-05,1001
2017-04-06,793
2017-04-07,669
2017-04-08,1122
2017-04-09,917
2017-04-10,2159
2017-04-11,517
2017-04-12,890
2017-04-13,484
2017-04-14,482
2017-04-15,623
2017-04-16,862
2017-04-17,405
2017-04-18,322
2017-04-19,349
2017-04-20,300
2017-04-21,479
2017-04-22,709
2017-04-23,434
2017-04-24,444
2017-04-25,233
2017-04-26,245
2017-04-27,214
2017-04-28,277
2017-04-29,389
2017-04-30,298
2017-05-01,434
2017-05-02,257
2017-05-03,678
2017-05-04,606
2017-05-05,293
2017-05-06,521
2017-05-07,323
2017-05-08,364
2017-05-09,254
2017-05-10,246
2017-05-11,273
2017-05-12,781
2017-05-13,367
2017-05-14,503
2017-05-15,256
2017-05-16,391
2017-05-17,197
2017-05-18,255
2017-05-19,354
2017-05-20,404
2017-05-21,620
2017-05-22,402
2017-05-23,1610
2017-05-24,304
2017-05-25,283
2017-05-26,265
2017-05-27,257
2017-05-28,277
2017-05-29,266
2017-05-30,685
2017-05-31,352
2017-06-01,220
2017-06-02,334
2017-06-03,1843
2017-06-04,603
2017-06-05,985
2017-06-06,2252
2017-06-07,410
2017-06-08,408
2017-06-09,291
2017-06-10,514
2017-06-11,259
2017-06-12,235
2017-06-13,606
2017-06-14,1194
2017-06-15,1449
2017-06-16,1351
2017-06-17,2052
2017-06-18,1127
2017-06-19,69918
2017-06-20,5154
2017-06-21,1194
2017-06-22,1465
2017-06-23,640
2017-06-24,728
2017-06-25,570
2017-06-26,1688
2017-06-27,993
2017-06-28,1360
2017-06-29,1176
2017-06-30,2380
2017-07-01,5239
2017-07-02,2391
2017-07-03,1975
2017-07-04,1198
2017-07-05,5880
2017-07-06,29117
2017-07-07,748
2017-07-08,1510
2017-07-09,822
