"""20170627""",24
"""20170628""",20
"""20170629""",2
"""20170630""",2
"""20170701""",3
"""20170702""",3
"""20170703""",2
"""20170704""",11
"""20170705""",2
"""20170706""",2
"""20170707""",2
"""20170708""",2
"""20170709""",3
"""20170710""",3
"""20170711""",4
"""20170712""",4
"""20170713""",6
"""20170714""",62
"""20170715""",30
"""20170716""",13
"""20170717""",5
"""20170718""",4
"""20170719""",5
"""20170720""",6
"""20170721""",5
"""20170722""",4
"""20170723""",3
"""20170724""",2
"""20170725""",2
"""20170726""",2
"""20170727""",1
"""20170728""",1
"""20170729""",2
"""20170730""",2
"""20170731""",1
"""20170801""",1
"""20170802""",1
"""20170803""",1
"""20170804""",1
"""20170805""",1
"""20170806""",1
"""20170807""",1
"""20170808""",2
"""20170809""",3
"""20170810""",4
"""20170811""",41
"""20170812""",38
"""20170813""",40
"""20170814""",176
"""20170815""",3883334
"""20170816""",13421577
"""20170817""",12926432
"""20170818""",14357962
"""20170819""",10575885
"""20170820""",9233773
"""20170821""",7461542
"""20170822""",4557911
"""20170823""",3828743
"""20170824""",3387748
"""20170825""",4177246
"""20170826""",3912144
"""20170827""",4545067
"""20170828""",3322938
"""20170829""",2633116
"""20170830""",2379738
"""20170831""",2724853
"""20170901""",3094480
"""20170902""",3497791
"""20170903""",3921512
"""20170904""",3611353
"""20170905""",3160066
"""20170906""",2886709
"""20170907""",2574238
"""20170908""",2775368
"""20170909""",3217240
"""20170910""",3793892
"""20170911""",3250380
"""20170912""",2757598
"""20170913""",2585413
"""20170914""",2240866
"""20170915""",2493051
"""20170916""",3271128
"""20170917""",3785095
"""20170918""",3469693
"""20170919""",3001187
"""20170920""",2734044
"""20170921""",2573135
"""20170922""",2945382
"""20170923""",3243958
"""20170924""",3793008
"""20170925""",3015072
"""20170926""",2870084
"""20170927""",1976771
"""20170928""",1071486
"""20170929""",947018
"""20170930""",901041
"""20171001""",891921
"""20171002""",876237
"""20171003""",863140
"""20171004""",861018
"""20171005""",973490
"""20171006""",1057636
"""20171007""",1040262
"""20171008""",1024509
"""20171009""",1752728
"""20171010""",3879195
"""20171011""",4570297
"""20171012""",4622877
"""20171013""",4627871
"""20171014""",5379510
"""20171015""",6653912
"""20171016""",6466058
"""20171017""",6165521
"""20171018""",5409211
"""20171019""",3833142
"""20171020""",3747804
"""20171021""",4074023
"""20171022""",4653319
"""20171023""",4203444
"""20171024""",3764323
"""20171025""",4075862
"""20171026""",4562713
"""20171027""",2751868
"""20171028""",1176471
"""20171029""",793072
"""20171030""",502846
"""20171031""",355461
"""20171101""",272496
