导演,王宏,/subject_search?search_text=%E7%8E%8B%E5%AE%8F
编剧1,贺梦凡,/celebrity/1322452/
编剧2,陈红波,/celebrity/1328765/
演员1,袁文君,/subject_search?search_text=%E8%A2%81%E6%96%87%E5%90%9B
演员2,张怀武,/subject_search?search_text=%E5%BC%A0%E6%80%80%E6%AD%A6
演员3,刘娟,/subject_search?search_text=%E5%88%98%E5%A8%9F
总评价数,9572
评价1,70.4%
评价2,16.3%
评价3,7.9%
评价4,3.1%
评价5,2.3%
标签1,剧情
标签2,动画
标签3,武侠
播出时间,2006-09-05
