导演,林丛,/celebrity/1320091/
编剧1,臧里,/celebrity/1322939/
编剧2,臧希,/celebrity/1322938/
演员1,宋丹丹,/celebrity/1274670/
演员2,高亚麟,/celebrity/1314443/
演员3,张一山,/celebrity/1274223/
演员4,杨紫,/celebrity/1314124/
演员5,尤浩然,/celebrity/1315774/
总评价数,32938
评价1,30.1%
评价2,44.4%
评价3,21.9%
评价4,2.5%
评价5,1.1%
标签1,喜剧
标签2,家庭
播出时间,2005-02-12(中国大陆)
