导演,王昕,/subject_search?search_text=%E7%8E%8B%E6%98%95
编剧1,庹小新,/subject_search?search_text=%E5%BA%B9%E5%B0%8F%E6%96%B0
演员1,阿杰,/celebrity/1320632/
演员2,刘校妤,/celebrity/1325738/
演员3,乔诗语,/celebrity/1320629/
演员4,阎萌萌,/celebrity/1340811/
演员5,杨天翔,/celebrity/1341265/
演员6,羽多野渉,/subject_search?search_text=%E7%BE%BD%E5%A4%9A%E9%87%8E%E6%B8%89
演员7,阿澄佳奈 ????,/subject_search?search_text=%E9%98%BF%E6%BE%84%E4%BD%B3%E5%A5%88%20%E2%80%8B%E2%80%8B%E2%80%8B%E2%80%8B
总评价数,6240
评价1,57.2%
评价2,31.0%
评价3,8.8%
评价4,1.6%
评价5,1.4%
标签1,喜剧
标签2,爱情
标签3,动画
播出时间,2015-06-26(中国大陆) 2017-07-01(日本)
